speaker,section,file,raw_dur_ms,proc_dur_ms,raw_dbfs,snr_db,trimmed_ms,flags,ok
speaker_01,OOV,OOV_0001.wav,9265,8005,-7.5,242.5,1860,,True
speaker_01,OOV,OOV_0002.wav,8533,7803,0.0,252.7,1330,,True
speaker_01,OOV,OOV_0003.wav,8427,6817,-1.7,247.1,2210,,True
speaker_01,OOV,OOV_0004.wav,8699,6549,-2.4,243.6,2750,,True
speaker_01,OOV,OOV_0005.wav,9129,7159,-2.9,246.1,2570,,True
speaker_01,OOV,OOV_0006.wav,8606,6906,-3.7,243.4,2300,,True
speaker_01,OOV,OOV_0007.wav,10491,9951,0.0,250.0,1140,,True
speaker_01,OOV,OOV_0008.wav,9258,7838,0.0,250.6,2020,,True
speaker_01,OOV,OOV_0009.wav,10348,9748,0.0,249.1,1200,,True
speaker_01,OOV,OOV_0010.wav,10319,8219,0.0,251.9,2700,,True
speaker_01,OOV,OOV_0011.wav,9187,8077,-1.2,248.8,1710,,True
speaker_01,OOV,OOV_0012.wav,10090,8210,-0.7,246.2,2480,,True
speaker_01,OOV,OOV_0013.wav,11308,9818,0.0,249.2,2090,,True
speaker_01,OOV,OOV_0014.wav,8671,7101,0.0,249.8,2170,,True
speaker_01,OOV,OOV_0015.wav,10548,9058,0.0,251.1,2090,,True
speaker_01,OOV,OOV_0016.wav,9473,8123,0.0,250.6,1950,,True
speaker_01,OOV,OOV_0017.wav,10228,8668,0.0,249.7,2160,,True
speaker_01,OOV,OOV_0018.wav,8398,6958,0.0,251.2,2040,,True
speaker_01,OOV,OOV_0019.wav,11394,9884,0.0,248.9,2110,,True
speaker_01,OOV,OOV_0020.wav,11007,9427,0.0,249.9,2180,,True
speaker_01,OOV,OOV_0021.wav,10677,10407,0.0,250.9,870,,True
speaker_01,OOV,OOV_0022.wav,11279,10649,0.0,250.3,1230,,True
speaker_01,OOV,OOV_0023.wav,9860,9420,0.0,250.9,1040,,True
speaker_01,OOV,OOV_0024.wav,10649,9759,0.0,249.9,1490,,True
speaker_01,OOV,OOV_0025.wav,8986,7386,0.0,249.5,2200,,True
speaker_01,OOV,OOV_0026.wav,10706,9526,0.0,248.4,1780,,True
speaker_01,OOV,OOV_0027.wav,10319,8659,-0.2,249.4,2260,,True
speaker_01,OOV,OOV_0028.wav,11279,9379,0.0,253.1,2500,,True
speaker_01,OOV,OOV_0029.wav,10878,9128,0.0,250.3,2350,,True
speaker_01,OOV,OOV_0030.wav,10176,10016,0.0,249.5,760,,True
speaker_01,OOV,OOV_0031.wav,10878,9148,0.0,250.8,2330,,True
speaker_01,OOV,OOV_0032.wav,10176,8826,0.0,252.5,1950,,True
speaker_01,OOV,OOV_0033.wav,9989,8449,0.0,249.7,2140,,True
speaker_01,OOV,OOV_0034.wav,11050,9790,0.0,249.4,1860,,True
speaker_01,OOV,OOV_0035.wav,10462,9082,0.0,250.7,1980,,True
speaker_01,OOV,OOV_0036.wav,11380,10210,0.0,250.9,1770,,True
speaker_01,OOV,OOV_0037.wav,12125,10625,0.0,252.1,2100,,True
speaker_01,OOV,OOV_0038.wav,10190,8550,0.0,251.2,2240,,True
speaker_01,OOV,OOV_0039.wav,9946,8776,0.0,247.4,1770,,True
speaker_01,OOV,OOV_0040.wav,10477,8877,0.0,248.7,2200,,True
speaker_01,OOV,OOV_0041.wav,10978,9258,0.0,250.2,2320,,True
speaker_01,OOV,OOV_0042.wav,10147,8457,0.0,250.4,2290,,True
speaker_01,OOV,OOV_0043.wav,11107,10087,0.0,250.0,1620,,True
speaker_01,OOV,OOV_0044.wav,11738,10468,0.0,251.3,1870,,True
